,gx_mean,gx_median,gx_variance,gy_mean,gy_median,gy_variance,gz_mean,gz_median,gz_variance,ax_mean,ax_median,ax_variance,ay_mean,ay_median,ay_variance,az_mean,az_median,az_variance,wx_mean,wx_median,wx_variance,wy_mean,wy_median,wy_variance,wz_mean,wz_median,wz_variance,label
57,1.3289800000000003,1.2774999999999999,0.2785227546938776,9.338199999999999,9.349499999999999,0.023963551020408178,2.5707799999999996,2.4505,0.30411944040816336,-0.04533999999999999,-0.1355,1.5762649636734691,0.21032000000000012,-0.064,3.6788591200000003,0.05712,-0.2565,3.3796547608163254,-0.018699999999999984,-0.009499999999999998,0.31347968367346934,0.0277,0.0265,0.31117392857142856,0.05477999999999998,0.1115,0.11665131795918371,0.0
58,1.5849799999999996,1.5310000000000001,0.29590761183673475,9.377799999999999,9.378499999999999,0.021701959183673486,2.2592799999999995,2.2355,0.306401307755102,-0.1521,-0.2735,1.6307235204081634,0.07625999999999997,-0.08499999999999999,3.2984571351020406,-0.009559999999999992,-0.161,2.527362822857143,-0.006979999999999987,0.0335,0.2756401832653062,0.005259999999999992,0.0195,0.332230686122449,0.04020000000000001,0.101,0.0836760408163265,0.0
59,1.9979599999999997,1.9745000000000001,0.40289481469387756,9.226339999999999,9.3155,0.08577035142857146,2.4673599999999998,2.4045,0.49681541877551016,-0.05812000000000003,-0.3165,2.201171454693877,0.13276,-0.045,3.1567987575510204,-0.10035999999999999,-0.2255,2.4042911738775508,0.02091999999999999,0.09,0.33189787102040824,0.0023400000000000174,-0.048,0.3505154534693877,0.011039999999999994,-0.0155,0.1644785289795918,0.0
60,1.3616,1.091,1.0166679999999997,9.36328,9.5495,0.14238620571428576,2.19046,1.976,0.7266047432653063,0.0388,-0.3125,2.168836734693878,0.07270000000000001,-0.062,2.5973698061224484,-0.15075999999999998,-0.314,2.3975127983673468,0.003040000000000007,0.053000000000000005,0.2804247330612245,0.021960000000000007,-0.0045000000000000005,0.2431164065306122,-0.010720000000000002,-0.07300000000000001,0.16496187918367344,0.0
61,0.8655600000000001,0.862,0.24879082285714277,9.631879999999997,9.620000000000001,0.004512760816326525,1.4996200000000002,1.5965,0.15428930163265306,-0.07102000000000003,-0.40049999999999997,1.9135761832653062,-0.051239999999999994,-0.1395,2.123197492244898,-0.25933999999999996,-0.4595,1.9838176575510207,-0.01691999999999999,0.0105,0.23169631999999996,-0.00908000000000001,-0.0625,0.12915423836734694,-0.010179999999999998,-0.021,0.08166745673469389,0.0
62,1.0323599999999997,0.962,0.11383284734693878,9.59448,9.5995,0.010057479183673449,1.622740000000001,1.63,0.30241505346938774,-0.18156,-0.659,2.421260822857143,0.15238000000000007,-0.0585,2.8340875465306117,-0.15933999999999998,-0.22250000000000003,1.8243892902040815,-0.01765999999999999,0.007000000000000001,0.2909841065306123,0.01902,-0.0335,0.2325061424489796,-0.010459999999999999,-0.003000000000000001,0.08021584530612245,0.0
63,0.98088,0.9385,0.10685876081632652,9.57586,9.591,0.011873102448979598,1.7614600000000002,1.769,0.2981994779591837,-0.15986,-0.6245,2.7699506126530618,0.09988000000000002,-0.21699999999999997,3.1902215771428586,-0.07322000000000004,-0.3405,3.8690235220408167,0.011739999999999995,-0.0175,0.24688517591836734,0.05808,0.178,0.28460097306122445,-0.0048000000000000065,0.0095,0.08399085714285716,0.0
64,1.19346,1.1275,0.2755810697959184,9.413979999999999,9.504000000000001,0.10635683632653077,2.2199400000000002,2.0540000000000003,0.8369602616326528,-0.14644,-0.361,2.0411167412244904,0.09044,-0.022999999999999993,2.9620255167346934,-0.14798000000000003,-0.436,4.301941775102041,0.011619999999999978,0.016,0.3716376689795918,0.023999999999999987,0.038000000000000006,0.28292253061224487,0.01448,0.012,0.09660621387755103,0.0
65,0.7197599999999993,0.4545,0.596168022857143,9.41408,9.5175,0.11027652408163277,2.36744,2.0655,0.7450679657142856,0.04496000000000001,-0.1925,3.273201631020409,0.17506,0.1635,2.4902014453061225,0.07636000000000004,-0.085,2.9626528473469396,0.023739999999999997,0.0675,0.3261928902040816,0.03391999999999999,0.09899999999999999,0.22833362612244892,-0.013579999999999991,-0.014,0.13391873836734697,0.0
66,0.09868,0.065,0.0589768751020408,9.60504,9.6295,0.010236610612244885,1.9089799999999988,1.838,0.19635638734693878,0.16380000000000003,0.0125,2.7396761632653055,0.009960000000000023,-0.1075,1.6534872636734697,0.21076000000000003,0.177,1.8886149208163276,0.02937999999999999,0.0625,0.10532942408163273,0.04201999999999999,0.041,0.08211271387755108,-0.016899999999999995,0.005,0.09022956122448977,0.0
67,-0.03418000000000001,-0.0435,0.030055497551020403,9.635100000000001,9.6495,0.004648744897959194,1.7812200000000002,1.7405,0.1308323791836735,-0.02748,-0.0125,0.2357186220408163,0.042539999999999994,-0.009500000000000001,1.103204416734694,0.0692,0.174,0.38073779591836715,-0.0050199999999999976,0.052000000000000005,0.10317614244897959,0.02766,0.028000000000000004,0.035523249387755085,0.007759999999999998,0.0125,0.023454512653061223,0.0
68,0.15488,-0.0445,0.19415871999999998,9.616659999999998,9.625,0.005980677959183664,1.8115200000000005,1.84,0.19197290775510206,-0.06868000000000003,-0.0505,0.25259997714285704,0.12750000000000003,0.0605,1.1979172755102039,0.04106,0.1045,0.35402622081632645,0.017639999999999996,0.035,0.08956292897959184,-0.012340000000000002,0.0035,0.03193353510204081,0.01252,0.016,0.022435560816326527,0.0
69,0.45768000000000003,0.5315,0.19257871183673467,9.63362,9.650500000000001,0.004625750612244891,1.6702799999999989,1.5525,0.17391416489795916,-0.15046,-0.098,0.388527273877551,0.08397999999999999,-0.111,1.8668100200000004,-0.05041999999999999,0.028499999999999998,0.6976050240816326,0.012719999999999988,0.0165,0.08437771591836736,-0.03862000000000001,0.0005,0.12856064857142857,-0.014799999999999995,0.025,0.09283808163265307,0.0
70,0.4598000000000001,0.5395,0.13040946938775516,9.66922,9.6735,0.00291409346938777,1.4888399999999995,1.4489999999999998,0.11944438204081632,-0.12946000000000002,-0.094,0.584992498367347,-0.02767999999999999,-0.16899999999999998,1.9798828751020408,-0.07581999999999998,-0.079,1.3343300281632653,-0.015520000000000004,0.0010000000000000009,0.11192890775510206,0.0138,0.037500000000000006,0.18259322448979587,-0.01052,0.018500000000000003,0.10723478530612246,0.0
